Year,Event ID,Event Name,Player Name,Round,Score,SG Total,Driving Distance,GIR,Scrambling
2019,,The Masters,"Rahm, Jon",1,69,4.718,311.5,0.556,0.778
2019,,The Masters,"Rahm, Jon",2,70,3.787,315.7,0.611,0.667
2019,,The Masters,"Rahm, Jon",3,72,0.408,316.8,0.778,0.5
2019,,The Masters,"Rahm, Jon",4,67,6.169,323.1,0.778,0.8
2019,,The Masters,"Oosthuizen, Louis",1,67,6.718,301.6,0.667,0.833
2019,,The Masters,"Oosthuizen, Louis",2,71,2.787,304.8,0.5,0.818
2019,,The Masters,"Oosthuizen, Louis",3,70,2.408,303.2,0.556,0.5
2019,,The Masters,"Oosthuizen, Louis",4,71,2.169,304.9,0.778,0.333
2019,,The Masters,"English, Harris",1,72,1.718,292.4,0.5,0.7
2019,,The Masters,"English, Harris",2,70,3.787,299.9,0.722,0.667
2019,,The Masters,"English, Harris",3,71,1.408,295.7,0.556,0.778
2019,,The Masters,"English, Harris",4,68,5.169,303.4,0.667,0.5
2019,,The Masters,"Koepka, Brooks",1,69,4.718,312.3,0.722,0.625
2019,,The Masters,"Koepka, Brooks",2,73,0.787,308.0,0.389,0.5
2019,,The Masters,"Koepka, Brooks",3,71,1.408,315.3,0.667,0.667
2019,,The Masters,"Koepka, Brooks",4,69,4.169,313.2,0.778,0.625
2019,,The Masters,"Migliozzi, Guido",1,71,2.718,299.2,0.722,1.0
2019,,The Masters,"Migliozzi, Guido",2,70,3.787,304.6,0.722,0.625
2019,,The Masters,"Migliozzi, Guido",3,73,-0.592,303.9,0.611,0.333
2019,,The Masters,"Migliozzi, Guido",4,68,5.169,301.8,0.556,0.714
2019,,The Masters,"Morikawa, Collin",1,75,-1.282,299.2,0.667,0.333
2019,,The Masters,"Morikawa, Collin",2,67,6.787,300.7,0.778,0.667
2019,,The Masters,"Morikawa, Collin",3,70,2.408,305.9,0.667,0.778
2019,,The Masters,"Morikawa, Collin",4,70,3.169,306.5,0.778,0.6
2019,,The Masters,"Casey, Paul",1,71,2.718,311.6,0.667,0.667
2019,,The Masters,"Casey, Paul",2,75,-1.213,302.9,0.556,0.4
2019,,The Masters,"Casey, Paul",3,67,5.408,307.5,0.667,0.571
2019,,The Masters,"Casey, Paul",4,70,3.169,308.0,0.667,0.714
2019,,The Masters,"McIlroy, Rory",1,70,3.718,323.8,0.667,0.571
2019,,The Masters,"McIlroy, Rory",2,73,0.787,314.8,0.556,0.4
2019,,The Masters,"McIlroy, Rory",3,67,5.408,317.7,0.778,0.8
2019,,The Masters,"McIlroy, Rory",4,73,0.169,318.2,0.667,0.5
2019,,The Masters,"Grace, Branden",1,72,1.718,304.8,0.722,0.571
2019,,The Masters,"Grace, Branden",2,70,3.787,302.7,0.556,0.556
2019,,The Masters,"Grace, Branden",3,74,-1.592,301.8,0.5,0.444
2019,,The Masters,"Grace, Branden",4,67,6.169,303.5,0.722,1.0
2019,,The Masters,"Berger, Daniel",1,71,2.718,289.9,0.667,0.833
