Year,Event ID,Event Name,Player Name,Round,Score,SG Total,Driving Distance,GIR,Scrambling
2019,535,U.S. Open,"Rahm, Jon",1,69,4.718,311.5,0.556,0.778
2019,535,U.S. Open,"Rahm, Jon",2,70,3.787,315.7,0.611,0.667
2019,535,U.S. Open,"Rahm, Jon",3,72,0.408,316.8,0.778,0.5
2019,535,U.S. Open,"Rahm, Jon",4,67,6.169,323.1,0.778,0.8
2019,535,U.S. Open,"Oosthuizen, Louis",1,67,6.718,301.6,0.667,0.833
2019,535,U.S. Open,"Oosthuizen, Louis",2,71,2.787,304.8,0.5,0.818
2019,535,U.S. Open,"Oosthuizen, Louis",3,70,2.408,303.2,0.556,0.5
2019,535,U.S. Open,"Oosthuizen, Louis",4,71,2.169,304.9,0.778,0.333
2019,535,U.S. Open,"English, Harris",1,72,1.718,292.4,0.5,0.7
2019,535,U.S. Open,"English, Harris",2,70,3.787,299.9,0.722,0.667
2019,535,U.S. Open,"English, Harris",3,71,1.408,295.7,0.556,0.778
2019,535,U.S. Open,"English, Harris",4,68,5.169,303.4,0.667,0.5
2019,535,U.S. Open,"Koepka, Brooks",1,69,4.718,312.3,0.722,0.625
2019,535,U.S. Open,"Koepka, Brooks",2,73,0.787,308.0,0.389,0.5
2019,535,U.S. Open,"Koepka, Brooks",3,71,1.408,315.3,0.667,0.667
2019,535,U.S. Open,"Koepka, Brooks",4,69,4.169,313.2,0.778,0.625
2019,535,U.S. Open,"Migliozzi, Guido",1,71,2.718,299.2,0.722,1.0
2019,535,U.S. Open,"Migliozzi, Guido",2,70,3.787,304.6,0.722,0.625
2019,535,U.S. Open,"Migliozzi, Guido",3,73,-0.592,303.9,0.611,0.333
2019,535,U.S. Open,"Migliozzi, Guido",4,68,5.169,301.8,0.556,0.714
2019,535,U.S. Open,"Morikawa, Collin",1,75,-1.282,299.2,0.667,0.333
2019,535,U.S. Open,"Morikawa, Collin",2,67,6.787,300.7,0.778,0.667
2019,535,U.S. Open,"Morikawa, Collin",3,70,2.408,305.9,0.667,0.778
2019,535,U.S. Open,"Morikawa, Collin",4,70,3.169,306.5,0.778,0.6
2019,535,U.S. Open,"Casey, Paul",1,71,2.718,311.6,0.667,0.667
2019,535,U.S. Open,"Casey, Paul",2,75,-1.213,302.9,0.556,0.4
2019,535,U.S. Open,"Casey, Paul",3,67,5.408,307.5,0.667,0.571
2019,535,U.S. Open,"Casey, Paul",4,70,3.169,308.0,0.667,0.714
2019,535,U.S. Open,"McIlroy, Rory",1,70,3.718,323.8,0.667,0.571
2019,535,U.S. Open,"McIlroy, Rory",2,73,0.787,314.8,0.556,0.4
2019,535,U.S. Open,"McIlroy, Rory",3,67,5.408,317.7,0.778,0.8
2019,535,U.S. Open,"McIlroy, Rory",4,73,0.169,318.2,0.667,0.5
2019,535,U.S. Open,"Grace, Branden",1,72,1.718,304.8,0.722,0.571
2019,535,U.S. Open,"Grace, Branden",2,70,3.787,302.7,0.556,0.556
2019,535,U.S. Open,"Grace, Branden",3,74,-1.592,301.8,0.5,0.444
2019,535,U.S. Open,"Grace, Branden",4,67,6.169,303.5,0.722,1.0
2019,535,U.S. Open,"Berger, Daniel",1,71,2.718,289.9,0.667,0.833
2019,535,U.S. Open,"Berger, Daniel",2,72,1.787,293.8,0.778,0.6
2019,535,U.S. Open,"Berger, Daniel",3,72,0.408,297.3,0.667,0.571
2019,535,U.S. Open,"Berger, Daniel",4,68,5.169,299.4,0.667,0.75
2019,535,U.S. Open,"Scheffler, Scottie",1,72,1.718,298.1,0.389,0.6
2019,535,U.S. Open,"Scheffler, Scottie",2,69,4.787,307.8,0.611,0.889
2019,535,U.S. Open,"Scheffler, Scottie",3,70,2.408,304.1,0.556,0.667
2019,535,U.S. Open,"Scheffler, Scottie",4,72,1.169,308.8,0.722,0.429
2019,535,U.S. Open,"Schauffele, Xander",1,69,4.718,318.5,0.722,0.714
2019,535,U.S. Open,"Schauffele, Xander",2,71,2.787,313.6,0.667,0.571
2019,535,U.S. Open,"Schauffele, Xander",3,72,0.408,318.1,0.556,0.444
2019,535,U.S. Open,"Schauffele, Xander",4,71,2.169,312.6,0.667,0.556
2019,535,U.S. Open,"Molinari, Francesco",1,68,5.718,300.6,0.5,0.8
2019,535,U.S. Open,"Molinari, Francesco",2,76,-2.213,297.1,0.389,0.364
2019,535,U.S. Open,"Molinari, Francesco",3,69,3.408,299.3,0.611,0.714
2019,535,U.S. Open,"Molinari, Francesco",4,71,2.169,303.1,0.667,0.571
2019,535,U.S. Open,"Henley, Russell",1,67,6.718,296.5,0.722,0.8
2019,535,U.S. Open,"Henley, Russell",2,70,3.787,302.5,0.722,1.0
2019,535,U.S. Open,"Henley, Russell",3,71,1.408,294.2,0.611,0.571
2019,535,U.S. Open,"Henley, Russell",4,76,-2.831,291.3,0.611,0.5
2019,535,U.S. Open,"Streelman, Kevin",1,71,2.718,292.2,0.667,0.857
2019,535,U.S. Open,"Streelman, Kevin",2,69,4.787,296.9,0.556,0.571
2019,535,U.S. Open,"Streelman, Kevin",3,72,0.408,299.7,0.778,0.333
2019,535,U.S. Open,"Streelman, Kevin",4,73,0.169,291.0,0.5,0.625
2019,535,U.S. Open,"Cantlay, Patrick",1,70,3.718,310.4,0.5,1.0
2019,535,U.S. Open,"Cantlay, Patrick",2,75,-1.213,313.3,0.5,0.4
2019,535,U.S. Open,"Cantlay, Patrick",3,71,1.408,306.0,0.778,0.5
2019,535,U.S. Open,"Cantlay, Patrick",4,69,4.169,307.8,0.611,1.0
2019,535,U.S. Open,"Hughes, Mackenzie",1,73,0.718,300.5,0.5,0.667
2019,535,U.S. Open,"Hughes, Mackenzie",2,67,6.787,294.2,0.833,0.667
2019,535,U.S. Open,"Hughes, Mackenzie",3,68,4.408,307.6,0.667,0.857
2019,535,U.S. Open,"Hughes, Mackenzie",4,77,-3.831,300.9,0.611,0.125
2019,535,U.S. Open,"Wolff, Matthew",1,70,3.718,319.7,0.722,0.333
2019,535,U.S. Open,"Wolff, Matthew",2,68,5.787,328.5,0.778,0.6
2019,535,U.S. Open,"Wolff, Matthew",3,73,-0.592,321.6,0.5,0.615
2019,535,U.S. Open,"Wolff, Matthew",4,74,-0.831,320.9,0.667,0.375
2019,535,U.S. Open,"Garcia, Sergio",1,71,2.718,306.1,0.611,0.444
2019,535,U.S. Open,"Garcia, Sergio",2,74,-0.213,308.7,0.722,0.25
2019,535,U.S. Open,"Garcia, Sergio",3,73,-0.592,313.7,0.611,0.429
